id,lat,lon,severity,road_users,near,source
SYN-31,57.691269,11.977007,minor,Tram|Pedestrian,Kapellplatsen,SYNTHETIC_SAMPLE
SYN-32,57.69031,11.974061,minor,Car,Kapellplatsen,SYNTHETIC_SAMPLE
SYN-33,57.696708,12.000061,minor,Car|Cyclist,Molndalsvagen,SYNTHETIC_SAMPLE
SYN-34,57.69437,11.997292,severe,Car,Molndalsvagen,SYNTHETIC_SAMPLE
SYN-35,57.695495,11.999909,minor,Pedestrian,Molndalsvagen,SYNTHETIC_SAMPLE
SYN-36,57.696894,12.002653,minor,Car|Pedestrian,Molndalsvagen,SYNTHETIC_SAMPLE
SYN-37,57.726704,11.966539,minor,Car,Tingstadstunneln,SYNTHETIC_SAMPLE
SYN-38,57.72916,11.968528,severe,Car|Cyclist,Tingstadstunneln,SYNTHETIC_SAMPLE
SYN-39,57.689799,11.918575,minor,Cyclist,Alvsborgsbron Sodra,SYNTHETIC_SAMPLE
SYN-40,57.689138,11.915853,minor,Tram|Pedestrian,Alvsborgsbron Sodra,SYNTHETIC_SAMPLE
SYN-41,57.690276,11.916519,minor,Bus|Car,Alvsborgsbron Sodra,SYNTHETIC_SAMPLE
SYN-42,57.709691,11.935141,minor,Car|Pedestrian,Eriksbergsmotet,SYNTHETIC_SAMPLE
SYN-43,57.708623,11.933705,severe,Tram|Pedestrian,Eriksbergsmotet,SYNTHETIC_SAMPLE
SYN-44,57.708651,11.932762,minor,Car,Eriksbergsmotet,SYNTHETIC_SAMPLE
SYN-45,57.707794,11.931539,minor,Pedestrian,Eriksbergsmotet,SYNTHETIC_SAMPLE
SYN-46,57.698071,11.964228,severe,Car|Pedestrian,Skanegatan,SYNTHETIC_SAMPLE
SYN-47,57.698196,11.967787,severe,Tram|Car,Skanegatan,SYNTHETIC_SAMPLE
SYN-48,57.683715,11.954784,minor,Car|Pedestrian,Medicinaregatan,SYNTHETIC_SAMPLE
SYN-49,57.682972,11.956272,minor,Bus|Car,Medicinaregatan,SYNTHETIC_SAMPLE
SYN-50,57.684556,11.957911,minor,Car,Medicinaregatan,SYNTHETIC_SAMPLE
SYN-51,57.685767,11.956169,minor,Bus|Car,Medicinaregatan,SYNTHETIC_SAMPLE
SYN-52,57.686141,11.957405,minor,Car|Pedestrian,Medicinaregatan,SYNTHETIC_SAMPLE
SYN-53,57.705951,11.987589,minor,Car|Cyclist,Ullevigatan,SYNTHETIC_SAMPLE
SYN-54,57.706393,11.985998,minor,Bus|Pedestrian,Ullevigatan,SYNTHETIC_SAMPLE
SYN-55,57.70904,11.990848,minor,Car,Ullevigatan,SYNTHETIC_SAMPLE
SYN-56,57.732345,12.008411,minor,Car|Cyclist,Marieholmsbron,SYNTHETIC_SAMPLE
SYN-57,57.729532,12.004851,minor,Car,Marieholmsbron,SYNTHETIC_SAMPLE
SYN-58,57.694395,11.948882,minor,Bus|Pedestrian,Doktor Fries Torg,SYNTHETIC_SAMPLE
SYN-59,57.693926,11.946573,severe,Car,Doktor Fries Torg,SYNTHETIC_SAMPLE
SYN-60,57.696092,11.942238,minor,Car|Pedestrian,Doktor Fries Torg,SYNTHETIC_SAMPLE
SYN-61,57.688396,11.975338,minor,Car,Chalmers Johanneberg,SYNTHETIC_SAMPLE
SYN-62,57.685751,11.974814,severe,Car|Cyclist,Chalmers Johanneberg,SYNTHETIC_SAMPLE
SYN-63,57.717304,11.931641,minor,Car,Sannegardshamnen,SYNTHETIC_SAMPLE
SYN-64,57.715475,11.936402,minor,Bus|Car,Sannegardshamnen,SYNTHETIC_SAMPLE
SYN-65,57.696208,11.948557,severe,Tram|Car,Guldheden,SYNTHETIC_SAMPLE
SYN-66,57.691699,11.944656,fatal,Tram|Car,Guldheden,SYNTHETIC_SAMPLE
SYN-67,57.654174,11.925634,minor,Car|Pedestrian,Vastra Frolunda,SYNTHETIC_SAMPLE
SYN-68,57.650828,11.925047,fatal,Cyclist,Vastra Frolunda,SYNTHETIC_SAMPLE
SYN-69,57.651786,11.931432,minor,Car,Vastra Frolunda,SYNTHETIC_SAMPLE
SYN-70,57.651791,11.931988,minor,Car,Vastra Frolunda,SYNTHETIC_SAMPLE
SYN-71,57.755029,11.99706,minor,Car,Angeredsbron,SYNTHETIC_SAMPLE
SYN-72,57.756896,11.998956,minor,Bus|Pedestrian,Angeredsbron,SYNTHETIC_SAMPLE
SYN-73,57.756669,12.001628,severe,Car,Angeredsbron,SYNTHETIC_SAMPLE
SYN-74,57.705788,12.000359,fatal,Car,Citywide,SYNTHETIC_SAMPLE
SYN-75,57.787786,11.840287,minor,Tram|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-76,57.608817,11.900067,minor,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-77,57.748246,11.965504,minor,Car,Citywide,SYNTHETIC_SAMPLE
SYN-78,57.681275,11.986198,minor,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-79,57.661038,12.038604,minor,Car,Citywide,SYNTHETIC_SAMPLE
SYN-80,57.677039,11.972976,minor,Car,Citywide,SYNTHETIC_SAMPLE
SYN-81,57.788053,12.021111,minor,Car,Citywide,SYNTHETIC_SAMPLE
SYN-82,57.701425,12.000068,minor,Tram|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-83,57.66019,11.964381,minor,Car|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-84,57.692998,11.932648,severe,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-85,57.722255,12.030547,fatal,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-86,57.648797,11.996817,minor,Bus|Car,Citywide,SYNTHETIC_SAMPLE
SYN-87,57.706226,11.967678,severe,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-88,57.781371,11.933774,severe,Bus|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-89,57.708522,11.924732,minor,Bus|Car,Citywide,SYNTHETIC_SAMPLE
SYN-90,57.625526,11.986677,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-91,57.62714,11.93851,minor,Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-92,57.650454,11.824572,severe,Car,Citywide,SYNTHETIC_SAMPLE
SYN-93,57.789922,11.859808,minor,Car|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-94,57.770059,11.980123,severe,Car,Citywide,SYNTHETIC_SAMPLE
SYN-95,57.669441,11.928513,severe,Car,Citywide,SYNTHETIC_SAMPLE
SYN-96,57.687115,12.019308,minor,Car,Citywide,SYNTHETIC_SAMPLE
SYN-97,57.71397,12.000457,severe,Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-98,57.698164,12.03788,minor,Bus|Car,Citywide,SYNTHETIC_SAMPLE
SYN-99,57.694652,11.959277,severe,Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-100,57.670362,11.936124,minor,Car,Citywide,SYNTHETIC_SAMPLE
SYN-101,57.790176,12.007049,severe,Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-102,57.645497,11.853832,severe,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-103,57.693879,11.932141,minor,Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-104,57.660767,12.098175,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-105,57.719225,11.985526,minor,Bus|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-106,57.685766,11.970589,minor,Car|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-107,57.725103,11.879394,minor,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-108,57.737874,11.940974,minor,Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-109,57.698759,11.824133,minor,Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-110,57.715249,12.028933,severe,Car,Citywide,SYNTHETIC_SAMPLE
SYN-111,57.694002,11.922504,minor,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-112,57.665961,12.008102,minor,Tram|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-113,57.724527,11.949548,minor,Car|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-114,57.776169,11.945414,fatal,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-115,57.759863,12.012935,minor,Tram|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-116,57.694444,11.937036,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-117,57.79978,11.946892,severe,Bus|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-118,57.691069,11.896533,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-119,57.620073,12.053512,severe,Car,Citywide,SYNTHETIC_SAMPLE
SYN-120,57.75188,12.061715,minor,Car|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-121,57.749353,11.930191,fatal,Car,Citywide,SYNTHETIC_SAMPLE
SYN-122,57.713186,12.037756,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-123,57.774168,11.985913,severe,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-124,57.657526,11.963979,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-125,57.646024,12.04058,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-126,57.736171,11.841034,fatal,Car,Citywide,SYNTHETIC_SAMPLE
SYN-127,57.607885,12.036583,minor,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-128,57.764483,12.082088,minor,Bus|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-129,57.783051,11.86641,severe,Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-130,57.729848,11.835003,minor,Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-131,57.707509,11.916594,severe,Bus|Car,Citywide,SYNTHETIC_SAMPLE
SYN-132,57.643454,11.933409,minor,Car,Citywide,SYNTHETIC_SAMPLE
SYN-133,57.757729,11.978794,minor,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-134,57.708043,12.039554,minor,Car|Cyclist,Citywide,SYNTHETIC_SAMPLE
SYN-135,57.664754,11.852274,minor,Tram|Pedestrian,Citywide,SYNTHETIC_SAMPLE
SYN-136,57.672408,11.9781,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-137,57.706111,11.936115,minor,Car,Citywide,SYNTHETIC_SAMPLE
SYN-138,57.733022,11.91229,severe,Car,Citywide,SYNTHETIC_SAMPLE
SYN-139,57.748918,11.911794,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-140,57.684587,12.074753,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-141,57.670023,11.96688,minor,Tram|Car,Citywide,SYNTHETIC_SAMPLE
SYN-142,57.711348,11.982698,minor,Car,Citywide,SYNTHETIC_SAMPLE
SYN-143,57.713264,11.920235,fatal,Car,Citywide,SYNTHETIC_SAMPLE
